,scores,avg_rwds
0,0.0,0.51
1,0.0,0.56
2,2.0,0.57
3,0.0,0.57
4,0.0,0.58
5,0.0,0.6
6,0.0,0.62
7,0.0,0.66
8,-1.0,0.69
9,-2.0,0.74
10,0.0,0.78
11,-1.0,0.79
12,0.0,0.8
13,0.0,0.83
14,0.0,0.84
15,2.0,0.87
16,0.0,0.92
17,1.0,0.99
18,0.0,0.99
19,0.0,1.02
20,0.0,1.02
21,0.0,1.01
22,0.0,1.03
23,1.0,1.04
24,1.0,1.05
25,-1.0,1.05
26,1.0,1.07
27,0.0,1.07
28,3.0,1.13
29,1.0,1.12
30,2.0,1.14
31,-3.0,1.21
32,0.0,1.27
33,0.0,1.27
34,-2.0,1.32
35,0.0,1.39
36,0.0,1.42
37,-2.0,1.41
38,-1.0,1.43
39,0.0,1.48
40,1.0,1.51
41,-1.0,1.54
42,1.0,1.57
43,-1.0,1.59
44,-2.0,1.67
45,0.0,1.71
46,0.0,1.74
47,-1.0,1.75
48,1.0,1.8
49,0.0,1.81
50,0.0,1.86
51,0.0,1.92
52,1.0,1.96
53,-2.0,2.01
54,-1.0,2.07
55,4.0,2.13
56,0.0,2.12
57,0.0,2.15
58,0.0,2.18
59,0.0,2.21
60,2.0,2.23
61,1.0,2.27
62,0.0,2.29
63,0.0,2.33
64,-1.0,2.41
65,1.0,2.45
66,-1.0,2.44
67,0.0,2.47
68,3.0,2.54
69,3.0,2.58
70,2.0,2.55
71,0.0,2.58
72,3.0,2.58
73,8.0,2.55
74,-1.0,2.54
75,1.0,2.6
76,4.0,2.62
77,0.0,2.58
78,3.0,2.61
79,1.0,2.58
80,3.0,2.6
81,2.0,2.59
82,3.0,2.61
83,0.0,2.6
84,3.0,2.62
85,0.0,2.61
86,-1.0,2.68
87,3.0,2.76
88,1.0,2.83
89,2.0,2.88
90,1.0,2.92
91,-2.0,2.94
92,1.0,3.07
93,0.0,3.07
94,0.0,3.11
95,2.0,3.15
96,0.0,3.21
97,1.0,3.2
98,2.0,3.27
99,0.0,3.28
100,5.0,3.37
101,1.0,3.34
102,2.0,3.38
103,1.0,3.39
104,2.0,3.41
105,2.0,3.46
106,4.0,3.53
107,3.0,3.54
108,4.0,3.59
109,2.0,3.59
110,1.0,3.57
111,0.0,3.61
112,3.0,3.67
113,1.0,3.7
114,3.0,3.75
115,7.0,3.79
116,7.0,3.74
117,1.0,3.73
118,3.0,3.79
119,0.0,3.78
120,-1.0,3.81
121,2.0,3.84
122,1.0,3.85
123,2.0,3.9
124,1.0,3.92
125,1.0,3.91
126,1.0,3.95
127,6.0,4.07
128,2.0,4.05
129,3.0,4.04
130,9.0,4.11
131,3.0,4.15
132,0.0,4.16
133,5.0,4.21
134,5.0,4.24
135,3.0,4.25
136,-1.0,4.27
137,0.0,4.37
138,4.0,4.48
139,3.0,4.5
140,4.0,4.58
141,2.0,4.58
142,3.0,4.63
143,7.0,4.67
144,2.0,4.68
145,3.0,4.76
146,1.0,4.84
147,4.0,4.88
148,2.0,4.91
149,5.0,4.99
150,6.0,4.99
151,4.0,5.01
152,6.0,5.05
153,4.0,5.06
154,5.0,5.1
155,3.0,5.13
156,3.0,5.23
157,3.0,5.27
158,3.0,5.32
159,2.0,5.39
160,6.0,5.47
161,3.0,5.51
162,4.0,5.49
163,8.0,5.59
164,3.0,5.57
165,0.0,5.65
166,2.0,5.75
167,7.0,5.8
168,7.0,5.85
169,0.0,5.84
170,5.0,5.95
171,0.0,5.93
172,0.0,5.97
173,7.0,6.02
174,5.0,6.04
175,3.0,6.05
176,0.0,6.11
177,3.0,6.2
178,0.0,6.27
179,3.0,6.34
180,2.0,6.39
181,4.0,6.47
182,2.0,6.54
183,2.0,6.59
184,2.0,6.61
185,7.0,6.67
186,7.0,6.69
187,10.0,6.66
188,6.0,6.64
189,6.0,6.63
190,3.0,6.63
191,11.0,6.69
192,1.0,6.66
193,4.0,6.71
194,4.0,6.75
195,8.0,6.79
196,-1.0,6.83
197,8.0,6.94
198,3.0,6.96
199,9.0,6.97
200,2.0,6.97
201,5.0,7.05
202,3.0,7.09
203,3.0,7.11
204,7.0,7.21
205,9.0,7.26
206,5.0,7.23
207,8.0,7.26
208,4.0,7.27
209,0.0,7.4
210,5.0,7.5
211,6.0,7.53
212,6.0,7.51
213,6.0,7.56
214,7.0,7.58
215,2.0,7.6
216,6.0,7.69
217,7.0,7.72
218,2.0,7.72
219,3.0,7.75
220,2.0,7.83
221,3.0,7.95
222,6.0,8.02
223,4.0,8.02
224,0.0,8.1
225,5.0,8.21
226,13.0,8.26
227,4.0,8.24
228,1.0,8.28
229,10.0,8.35
230,13.0,8.3
231,4.0,8.18
232,5.0,8.28
233,8.0,8.38
234,6.0,8.37
235,5.0,8.39
236,9.0,8.44
237,11.0,8.44
238,6.0,8.48
239,11.0,8.5
240,4.0,8.39
241,7.0,8.49
242,7.0,8.5
243,8.0,8.56
244,10.0,8.58
245,11.0,8.66
246,5.0,8.7
247,7.0,8.76
248,10.0,8.8
249,5.0,8.78
250,8.0,8.85
251,8.0,8.9
252,7.0,8.96
253,8.0,8.97
254,8.0,8.92
255,13.0,8.96
256,7.0,8.96
257,8.0,8.9
258,10.0,8.97
259,10.0,8.98
260,10.0,9.02
261,1.0,9.07
262,14.0,9.12
263,6.0,9.05
264,11.0,9.05
265,10.0,9.06
266,7.0,9.12
267,12.0,9.15
268,6.0,9.14
269,11.0,9.21
270,3.0,9.21
271,4.0,9.32
272,5.0,9.42
273,9.0,9.52
274,6.0,9.59
275,9.0,9.64
276,9.0,9.72
277,10.0,9.73
278,7.0,9.81
279,8.0,9.87
280,10.0,9.93
281,11.0,9.94
282,7.0,9.93
283,4.0,9.98
284,8.0,10.1
285,9.0,10.14
286,4.0,10.19
287,8.0,10.32
288,5.0,10.38
289,6.0,10.48
290,9.0,10.59
291,8.0,10.64
292,6.0,10.7
293,8.0,10.79
294,8.0,10.83
295,12.0,10.85
296,10.0,10.9
297,10.0,10.94
298,4.0,11.01
299,9.0,11.05
300,10.0,11.04
301,9.0,11.09
302,5.0,11.14
303,13.0,11.17
304,12.0,11.16
305,6.0,11.16
306,8.0,11.25
307,9.0,11.33
308,17.0,11.37
309,10.0,11.34
310,8.0,11.39
311,4.0,11.41
312,11.0,11.46
313,8.0,11.5
314,9.0,11.47
315,11.0,11.47
316,9.0,11.53
317,7.0,11.59
318,5.0,11.62
319,11.0,11.66
320,14.0,11.63
321,10.0,11.61
322,6.0,11.64
323,12.0,11.72
324,11.0,11.74
325,10.0,11.75
326,11.0,11.7
327,8.0,11.79
328,8.0,11.86
329,5.0,11.93
330,1.0,12.05
331,14.0,12.16
332,15.0,12.08
333,7.0,12.03
334,8.0,12.06
335,10.0,12.16
336,9.0,12.17
337,15.0,12.19
338,8.0,12.17
339,0.0,12.13
340,14.0,12.27
341,8.0,12.23
342,13.0,12.29
343,10.0,12.23
344,18.0,12.26
345,15.0,12.21
346,11.0,12.21
347,11.0,12.22
348,8.0,12.25
349,12.0,12.34
350,13.0,12.3
351,14.0,12.29
352,8.0,12.21
353,3.0,12.26
354,12.0,12.32
355,13.0,12.31
356,1.0,12.35
357,15.0,12.51
358,11.0,12.48
359,14.0,12.42
360,15.0,12.5
361,6.0,12.47
362,7.0,12.56
363,6.0,12.61
364,12.0,12.7
365,16.0,12.73
366,10.0,12.69
367,11.0,12.74
368,13.0,12.8
369,11.0,12.8
370,14.0,12.77
371,14.0,12.74
372,15.0,12.74
373,16.0,12.76
374,11.0,12.71
375,17.0,12.69
376,10.0,12.64
377,18.0,12.68
378,13.0,12.74
379,14.0,12.71
380,11.0,12.71
381,10.0,12.78
382,12.0,12.8
383,16.0,12.88
384,12.0,12.89
385,14.0,12.85
386,17.0,12.82
387,14.0,12.81
388,15.0,12.81
389,17.0,12.76
390,14.0,12.7
391,14.0,12.7
392,15.0,12.71
393,12.0,12.57
394,10.0,12.57
395,17.0,12.65
396,14.0,12.67
397,17.0,12.7
398,8.0,12.73
399,8.0,12.76
400,15.0,12.86
401,14.0,12.8
402,8.0,12.87
403,12.0,13.01
